一展身手	yi1 zhan3 shen1 shou3
一展長才	yi1 zhan3 chang2 cai2
一層	yi1 ceng2
一層天	yi1 ceng2 tian1
一層窗戶紙捅破	yi1 ceng2 chuang1 hu4 zhi3 tong3 po4
一山不容二虎	yi1 shan1 bu4 rong2 er4 hu3
一工兒	yi1 gongr1
一差二誤	yi1 cha1 er4 wu4
一差二錯	yi1 cha1 er4 cuo4
一差半錯	yi1 cha1 ban4 cuo4
一己	yi1 ji3
一己之私	yi1 ji3 zhi1 si1
一己之見	yi1 ji3 zhi1 jian4
一巴掌	yi1 ba1 zhang3
一帆風順	yi1 fan2 feng1 shun4
一席之地	yi1 xi2 zhi1 di4
一席地	yi1 xi2 di4
一席話	yi1 xi2 hua4
一帶	yi1 dai4
一幕	yi1 mu4
一幫	yi1 bang1
一干	yi1 gan1
一年之計在於春	yi1 nian2 zhi1 ji4 zai4 yu2 chun1
一年到頭	yi1 nian2 dao4 tou2
一年半載	yi1 nian2 ban4 zai3
一年四季	yi1 nian2 si4 ji4
一年大	yi1 nian2 da4
一年生作物	yi1 nian2 sheng1 zuo4 wu4
一年生植物	yi1 nian2 sheng1 zhi2 wu4
一年被蛇咬	yi1 nian2 bei4 she2 yao3
一度	yi1 du4
一度着蛇咬	yi1 du4 zhao1 she2 yao3
一座	yi1 zuo4
一座皆驚	yi1 zuo4 jie1 jing1
一廂情願	yi1 xiang1 qing2 yuan4
一廉如水	yi1 lian2 ru2 shui3
一廛	yi1 chan2
一廟一個神	yi1 miao4 yi1 ge5 shen2
一弄兒	yi1 nongr4
一弓	yi1 gong1
一弔	yi1 diao4
一弛一張	yi1 shi3 yi1 zhang1
一弦琴	yi1 xian2 qin2
一張一弛	yi1 zhang1 yi1 shi3
一彆頭	yi1 bie4 tou2
一彈指	yi1 tan2 zhi3
一彎	yi1 wan1
一彪	yi1 biao1
一往情深	yi1 wang3 qing2 shen1
一往無前	yi1 wang3 wu2 qian2
一往直前	yi1 wang3 zhi2 qian2
一律	yi1 lv4
一徑	yi1 jing4
一得	yi1 de2
一得之功	yi1 de2 zhi1 gong1
一得之愚	yi1 de2 zhi1 yu2
一得之見	yi1 de2 zhi1 jian4
一從	yi1 cong2
一德	yi1 de2
一德一心	yi1 de2 yi1 xin1
一心	yi1 xin1
一心一德	yi1 xin1 yi1 de2
一心一意	yi1 xin1 yi1 yi4
一心一計	yi1 xin1 yi1 ji4
一心三觀	yi1 xin1 san1 guan1
一心二用	yi1 xin1 er4 yong4
一心挂兩頭	yi1 xin1 gua4 liang3 tou2
一心無二	yi1 xin1 wu2 er4
一心無罣礙	yi1 xin1 wu2 gua4 ai4
一念	yi1 nian4
一念三千	yi1 nian4 san1 qian1
一念之差	yi1 nian4 zhi1 cha1
一念之錯	yi1 nian4 zhi1 cuo4
一念之間	yi1 nian4 zhi1 jian1
一念堅貞	yi1 nian4 jian1 zhen1
一忽	yi1 hu1
一忽兒	yi1 hur1
一怔	yi1 leng4
一性	yi1 xing4
一息	yi1 xi2
一息奄奄	yi1 xi2 yan1 yan1
一息尚存	yi1 xi2 shang4 cun2
一想紅	yi1 xiang3 hong2
一意孤行	yi1 yi4 gu1 xing2
一愣	yi1 leng4
一應	yi1 ying1
一應俱全	yi1 ying1 ju4 quan2
一成	yi1 cheng2
一成一旅	yi1 cheng2 yi1 lv3
一成不易	yi1 cheng2 bu4 yi4
一成不變	yi1 cheng2 bu4 bian4
一戰而霸	yi1 zhan4 er2 ba4
一房	yi1 fang2
一房一臥	yi1 fang2 yi1 wo4
一手	yi1 shou3
一手一足	yi1 shou3 yi1 zu2
一手交貨	yi1 shou3 jiao1 huo4
一手交錢	yi1 shou3 jiao1 qian2
一手兒	yi1 shour3
一手包攬	yi1 shou3 bao1 lan3
一手包辦	yi1 shou3 bao1 ban4
一手托兩家	yi1 shou3 tuo1 liang3 jia1
一手承運	yi1 shou3 cheng2 yun4
一手提拔	yi1 shou3 ti2 ba2
一手遮天	yi1 shou3 zhe1 tian1
一手難掩天下人耳目	yi1 shou3 nan2 yan3 tian1 xia4 ren2 er3 mu4
一扎腳	yi1 zha1 jiao3
一打三分低	yi1 da3 san1 fen1 di1
一托氣	yi1 tuo1 qi4
一托頭	yi1 tuo1 tou2
一扠	yi1 zha3
