䰖兒	zuar3
得不的風兒就是雨兒	de2 bu4 de5 fengr1 jiu4 shi4 yuer3
得人兒	de2 rer2
得勝的貓兒歡似虎	de2 sheng4 de5 maor1 huan1 si4 hu3
得樣兒	de2 yangr4
心眼兒	xin1 yar3
忒兒	ter4
忒兒嘍	ter4 lou5
忖着勁兒	cun3 zhe5 jingr4
忙惚兒	mang2 hur1
念央兒	nian4 yangr1
念心兒	nian4 xier5
念豆兒佛	nian4 dour4 fo2
性兒	xingr4
怯殼兒	que4 ker2
恨沒地縫兒鑽進去	hen4 mei2 di4 fengr4 zuan1 jin4 qu4
悄不聲兒的	qiao3 bu5 shengr1 de5
悶弓兒	men1 gongr1
悶着頭兒幹	men1 zhe5 tour2 gan4
想碴兒	xiang3 char2
愛人兒	ai4 rer2
愛八哥兒	ai4 ba1 ger5
愛好兒	ai4 haor3
愛巴物兒	ai4 ba1 wur4
愛物兒	ai4 wur4
愣兒	lengr1
愣兒	lengr4
愣神兒	leng4 sher2
愣頭兒青	leng4 tour2 qing1
慌了神兒	huang1 le5 sher2
慢慢兒	man4 mar1
慢點兒	man4 diar3
應名兒	ying4 mingr2
成個兒	cheng2 ger4
成兒	chengr2
成副兒	cheng2 fur4
成方兒	cheng2 fangr1
成窩兒	cheng2 wor1
戳兒	chuor1
扇墜兒	shan4 zhuer4
扇涼翅兒	shan1 liang2 cher4
手串兒	shou3 chuar4
手兒	shour3
手字兒	shou3 zer4
手彩兒	shou3 car3
扎腦門兒	zha1 nao3 mer2
扒自飯碗兒	pa2 zi4 fan4 war3
扒頭兒	ba1 tour5
打乾淨毬兒	da3 gan1 jing4 qiur2
打了個千兒	da3 le5 ge5 qiar1
打了個盹兒	da3 le5 ge5 duer3
打佯兒	da3 yangr2
打個千兒	da3 ge5 qiar1
打個沉兒	da3 ge5 cher2
打地灘兒	da3 di4 tar1
打墜咕囉兒	da3 zhui4 gu1 luor1
打張驚兒	da3 zhang1 jingr1
打張鷄兒	da3 zhang1 jier1
打得多少釘兒	da3 de5 duo1 shao3 dingr1
打挺兒	da3 tingr3
打旗兒的	da3 qier2 de5
打晃兒	da3 huangr4
打水撇兒	da3 shui3 pier1
打水漂兒	da3 shui3 piaor1
打牆板兒翻上下	da3 qiang2 bar3 fan1 shang4 xia4
打牌兒	da3 par2
打牙兒	da3 yar2
打盹兒	da3 dunr3
打短兒	da3 duar3
打糖鑼兒的	da3 tang2 luor2 de5
打老兒	da3 laor3
打自得兒	da3 zi4 der2
打草兒	da3 caor3
打軟腿兒	da3 ruan3 tuer3
打通兒	da3 tongr1
打野盤兒	da3 ye3 par2
打錢兒的	da3 qiar2 de5
打雙關兒透	da3 shuang1 guar1 tou4
打響瓜兒	da3 xiang3 guar1
打點兒	da3 diar3
扛肩兒的	kang2 jiar1 de5
扣兒	kour4
扣環兒	kou4 huar2
扣襻兒	kou4 par4
扭嘴兒	niu3 zuer3
扭股兒糖	niu3 gur3 tang2
扯閑盤兒	che3 xian2 par2
扳不倒兒	ban1 bu4 daor3
找沒味兒	zhao3 mei2 wer4
找碴兒	zhao3 char2
抄空兒	chao1 kongr4
抄總兒	chao1 zongr3
把兒	bar3
把兒缸子	bar4 gang1 zi5
把兒鏡子	bar4 jing4 zi5
把弦兒	ba3 xiar2
把突兒	ba3 tur2
抓子兒	chua3 zer3
抓尖兒	zhua1 jiar1
抓撓兒	zhua1 naor5
抓破臉兒	zhua1 po4 liar3
抓碴兒	zhua1 char2
抓角兒	zhua1 jiaor3
抖機伶兒	dou3 ji1 lingr5
抱盆兒擲	bao4 per2 zhi2
抱腳兒	bao4 jiaor3
抱腿兒	bao4 tuer3
抱身兒	bao4 sher1
抽鼻兒	chou1 bier2
拄拐棍兒的孫子	guai3 guer4 de5 sun1 zi5
拉些兒	la1 xier1
拉便宜手兒	la1 pian2 yi5 shour3
拉呱兒	la1 guar1
拉彎兒	la1 war1
拉晚兒	la1 war3
拉替身兒	la1 ti4 sher5
拉片兒湯	la1 piar4 tang1
拍老腔兒	pai1 lao3 qiangr1
拐兒	guar3
拔了一個尖兒	ba2 le5 yi2 ge5 jiar1
拔脯兒	ba2 pur2
拘兒	juer1
拘攣兒	ju1 lvar5
招兒	zhaor1
招笑兒	zhao1 xiaor4
